source_ip,timestamp,destination,port,payload_type,payload,label,attack_type
172.20.10.4,2026-02-07T09:30:10Z,support@corp.com,8080,text,Ticket #9921: User cannot access VPN. Priority: Low.,benign,support_ticket
192.168.0.10,2026-02-07T12:05:40Z,sales@corp.com,443,link,https://hubspot.com/contacts,benign,safe_link
203.0.113.45,2026-02-07T11:06:00Z,user@corp.com,25,text,URGENT: Your account will be suspended in 24 hours. Verify now: http://account-verify-now.com/login,malicious,credential_harvest
55.11.22.33,2026-02-07T09:32:45Z,legal@corp.com,443,link,https://vx-underground.org/Samples,malicious,credential_harvest
192.0.2.34,2026-02-07T11:13:00Z,legal@corp.com,443,link,https://netflix-billing-update.com/payment?email=user@corp.com,malicious,invoice_fraud
10.0.0.12,2026-02-07T14:02:30Z,it@corp.com,443,video,https://www.youtube.com/watch?v=vaeFzrIc9HU | [AI SUMMARY]: Microsoft Teams Core Features Explained. Training video.,benign,safe_link
192.168.1.18,2026-02-07T11:45:35Z,devops@corp.com,22,text,Deploying hotfix to US-East-1.,benign,dev_notification
44.33.22.11,2026-02-07T11:12:55Z,ceo@corp.com,587,text,"I need you to buy 5x $100 Apple Gift Cards for a client gift. Do not call me, I am in a meeting.",malicious,invoice_fraud
198.51.100.90,2026-02-07T11:15:00Z,ceo@corp.com,443,image,fake_invoice.jpg | OCR: 'URGENT: Payment overdue. Click here to pay: pay-now-fake.com',malicious,invoice_fraud
198.51.100.33,2026-02-07T12:45:00Z,dev@corp.com,443,pdf,https://www.adobe.com/support/products/enterprise/knowledgecenter/media/c4611_sample_explain.pdf | Metadata: Technical Manual - PDF Bookmarks Sample,benign,safe_attachment
99.88.77.66,2026-02-07T13:28:30Z,sysadmin@corp.com,23,text,"Microsoft Security Alert: We detected a login from 'iPhone 15 - Chengdu, China'. Reply STOP to block this device immediately.",malicious,credential_harvest
192.168.1.25,2026-02-07T10:50:20Z,dev@corp.com,443,text,Merged PR #501 to main branch. Tests passed.,benign,dev_notification
55.11.22.33,2026-02-07T13:22:45Z,legal@corp.com,443,link,https://vx-underground.org/Samples,malicious,credential_harvest
192.168.1.50,2026-02-07T13:30:12Z,intern@corp.com,443,video,https://www.youtube.com/watch?v=k1VUZEVuDJ8 | [AI SUMMARY]: Excel Tutorial for Beginners. Safe educational content.,benign,safe_link
23.45.67.89,2026-02-07T13:42:30Z,dev@corp.com,143,image,"aws_bill_fake.png | OCR: 'AWS INVOICE: $15,400.00 USD - AUTO-DEBIT SCHEDULED FOR TOMORROW'",malicious,invoice_fraud
12.34.56.78,2026-02-07T13:32:00Z,cfo@corp.com,53,link,https://datalake.abuse.ch/malware-bazaar/daily/,malicious,invoice_fraud
10.2.3.8,2026-02-07T11:10:40Z,qa@corp.com,443,link,https://jira.corp.com/browse/BUG-202,benign,safe_link
23.55.66.77,2026-02-07T11:48:50Z,finance@corp.com,993,text,FW: Overdue Invoice #9922. Please pay immediately to avoid legal action.,malicious,invoice_fraud
192.168.0.5,2026-02-07T09:22:00Z,sales@corp.com,443,link,https://docs.google.com/presentation/d/12345,benign,safe_link
192.168.1.77,2026-02-07T12:25:50Z,user@corp.com,443,link,https://stackoverflow.com/questions/12345,benign,safe_link
203.0.113.123,2026-02-07T11:11:00Z,sales@corp.com,443,link,https://bit.ly/suspicious-link-2024,malicious,credential_harvest
88.44.22.11,2026-02-07T11:42:20Z,cfo@corp.com,443,link,https://irs-tax-refund-claim.com,malicious,credential_harvest
192.168.1.33,2026-02-07T11:28:40Z,dev@corp.com,8080,text,API Latency is high on prod.,benign,dev_notification
192.168.1.100,2026-02-07T14:12:10Z,qa@corp.com,443,pdf,https://www.w3.org/WAI/ER/tests/xhtml/testfiles/resources/pdf/dummy.pdf | Metadata: Standard W3C Test PDF,benign,safe_attachment
98.76.54.32,2026-02-07T09:58:00Z,user@corp.com,6667,link,http://freelist.virussign.com/freelist/,malicious,credential_harvest
45.11.22.33,2026-02-07T14:00:15Z,finance@corp.com,443,video,https://www.youtube.com/watch?v=Xl0DUhuIh0A | [AI SUMMARY]: Robocall detected. Automated voice claiming to be IRS tax enforcement.,malicious,invoice_fraud
172.16.2.8,2026-02-07T10:30:00Z,it@corp.com,53,text,DNS Zone transfer initiated from unknown IP. Alert.,benign,it_announcement
10.0.0.12,2026-02-07T10:02:30Z,it@corp.com,443,video,https://www.youtube.com/watch?v=vaeFzrIc9HU | [AI SUMMARY]: Microsoft Teams Core Features Explained. Training video.,benign,safe_link
203.0.113.8,2026-02-07T13:18:15Z,finance@corp.com,21,link,https://virusshare.com/torrents,malicious,credential_harvest
10.10.10.10,2026-02-07T13:35:45Z,security@corp.com,8443,text,The weekly vulnerability scan report is available on the Intranet dashboard.,benign,internal_update
99.88.77.11,2026-02-07T12:00:00Z,all@corp.com,25,text,Free Pizza in the breakroom!,benign,it_announcement
10.1.1.88,2026-02-07T12:42:45Z,security@corp.com,443,text,Firewall rules updated.,benign,internal_update
192.168.100.1,2026-02-07T09:50:00Z,manager@corp.com,22,link,https://trello.com/b/project-alpha,benign,safe_link
10.50.2.22,2026-02-07T10:15:15Z,legal@corp.com,443,pdf,https://www.rd.usda.gov/sites/default/files/pdf-sample_0.pdf | Metadata: Official Government Form USDA,benign,safe_attachment
172.16.5.4,2026-02-07T09:05:00Z,all@corp.com,53,text,IT Alert: The printer on the 3rd floor is down for maintenance until Tuesday.,benign,it_announcement
203.0.113.89,2026-02-07T11:09:00Z,hr@corp.com,25,text,"Congratulations! You've won $10,000. Claim your prize now: www.prizewinner.com/claim?id=abc123",malicious,credential_harvest
66.249.77.11,2026-02-07T10:05:00Z,sales@corp.com,22,audio,https://www.youtube.com/watch?v=Xl0DUhuIh0A | [TRANSCRIPT]: 'IRS Scam Recording (Voicemail).',malicious,delivery_scam
10.0.0.99,2026-02-07T13:25:00Z,events@corp.com,993,image,holiday_party.png | OCR: 'You are invited! Annual Holiday Party - Friday 6 PM',benign,safe_attachment
192.168.1.50,2026-02-07T09:40:12Z,intern@corp.com,443,video,https://www.youtube.com/watch?v=k1VUZEVuDJ8 | [AI SUMMARY]: Excel Tutorial for Beginners. Safe educational content.,benign,safe_link
192.168.0.5,2026-02-07T13:12:00Z,sales@corp.com,443,link,https://docs.google.com/presentation/d/12345,benign,safe_link
198.51.100.22,2026-02-07T10:20:00Z,dev@corp.com,443,pdf,https://www.adobe.com/support/products/enterprise/knowledgecenter/media/c4611_sample_explain.pdf | Metadata: Technical Manual - PDF Bookmarks Sample,benign,safe_attachment
23.11.55.9,2026-02-07T13:02:30Z,hr@corp.com,443,video,https://www.youtube.com/watch?v=TUvpL_Hx0is | Context: Corporate stock footage of people in a meeting room.,benign,safe_link
